No,smi_mol1,smi_mol2,smi_mol3,smi_mol4,smi_mol5,smi_mol6,smi_mol7,smi_mol8,smi_mol9,smi_mol10,smi_mol11,smi_mol12,smi_mol13,x_mol_1,x_mol_2,x_mol_3,x_mol_4,x_mol_5,x_mol_6,x_mol_7,x_mol_8,x_mol_9,x_mol_10,x_mol_11,x_mol_12,x_mol_13,Mole/Weight/Volume Fraction,CN,DCN or ICN,Method,Device,Comments,Reference,can_smi_1,can_smi_2,can_smi_3,can_smi_4,can_smi_5,can_smi_6,can_smi_7,can_smi_8,can_smi_9,can_smi_10,can_smi_11,can_smi_12,can_smi_13,blends_str_repr
2,CCCCCCCCCCCC,CC1=CC=CC=C1,,,,,,,,,,,,0.61,0.39,,,,,,,,,,,,volume,53.4,DCN,ASTM D6890,CFR Engine,,1,CCCCCCCCCCCC,Cc1ccccc1,,,,,,,,,,,,CCCCCCCCCCCC_0.610_Cc1ccccc1_0.390_
3,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,volume,53.9,DCN,ASTM D6890,CFR Engine,,1,CCCCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,CC(C)CC(C)(C)C_0.500_CCCCCCCCCCCC_0.500_
4,CCCCCCCCCC,CC1=CC=CC=C1,,,,,,,,,,,,0.796,0.204,,,,,,,,,,,,mole,62.14,DCN,ASTM D6890,IQT,Table of DCN values found in the Supplementary Data 1.,2,CCCCCCCCCC,Cc1ccccc1,,,,,,,,,,,,CCCCCCCCCC_0.796_Cc1ccccc1_0.204_
5,CCCCCCCCCC,CC1=CC=CC=C1,,,,,,,,,,,,0.592,0.408,,,,,,,,,,,,mole,54.14,DCN,ASTM D6890,IQT,,2,CCCCCCCCCC,Cc1ccccc1,,,,,,,,,,,,CCCCCCCCCC_0.592_Cc1ccccc1_0.408_
6,CCCCCCCCCC,CC1=CC=CC=C1,,,,,,,,,,,,0.196,0.804,,,,,,,,,,,,mole,28.58,DCN,ASTM D6890,IQT,,2,CCCCCCCCCC,Cc1ccccc1,,,,,,,,,,,,CCCCCCCCCC_0.196_Cc1ccccc1_0.804_
7,CCCCCCCCCC,CC1=CC=CC=C1,,,,,,,,,,,,0.398,0.602,,,,,,,,,,,,mole,44.18,DCN,ASTM D6890,IQT,,2,CCCCCCCCCC,Cc1ccccc1,,,,,,,,,,,,CCCCCCCCCC_0.398_Cc1ccccc1_0.602_
8,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,0.807,0.193,,,,,,,,,,,,mole,61.21,DCN,ASTM D6890,IQT,,2,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,CC(C)CC(C)(C)C_0.193_CCCCCCCCCC_0.807_
9,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,0.603,0.397,,,,,,,,,,,,mole,55.08,DCN,ASTM D6890,IQT,,2,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,CC(C)CC(C)(C)C_0.397_CCCCCCCCCC_0.603_
10,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,0.4,0.6,,,,,,,,,,,,mole,46.93,DCN,ASTM D6890,IQT,,2,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,CC(C)CC(C)(C)C_0.600_CCCCCCCCCC_0.400_
11,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,0.201,0.799,,,,,,,,,,,,mole,36.59,DCN,ASTM D6890,IQT,,2,CCCCCCCCCC,CC(C)CC(C)(C)C,,,,,,,,,,,,CC(C)CC(C)(C)C_0.799_CCCCCCCCCC_0.201_
12,CCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,,,,0.261,0.26,0.479,,,,,,,,,,,mole,36.93,DCN,ASTM D6890,IQT,,2,CCCCCCCCCC,CC(C)CC(C)(C)C,Cc1ccccc1,,,,,,,,,,,CC(C)CC(C)(C)C_0.260_CCCCCCCCCC_0.261_Cc1ccccc1_0.479_
13,CCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,,,,0.349,0.354,0.298,,,,,,,,,,,mole,43.27,DCN,ASTM D6890,IQT,,2,CCCCCCCCCC,CC(C)CC(C)(C)C,Cc1ccccc1,,,,,,,,,,,CC(C)CC(C)(C)C_0.354_CCCCCCCCCC_0.349_Cc1ccccc1_0.298_
14,CCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,,,,0.172,0.678,0.15,,,,,,,,,,,mole,32.99,DCN,ASTM D6890,IQT,,2,CCCCCCCCCC,CC(C)CC(C)(C)C,Cc1ccccc1,,,,,,,,,,,CC(C)CC(C)(C)C_0.678_CCCCCCCCCC_0.172_Cc1ccccc1_0.150_
15,CCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,,,,0.177,0.439,0.384,,,,,,,,,,,mole,31.66,DCN,ASTM D6890,IQT,,2,CCCCCCCCCC,CC(C)CC(C)(C)C,Cc1ccccc1,,,,,,,,,,,CC(C)CC(C)(C)C_0.439_CCCCCCCCCC_0.177_Cc1ccccc1_0.384_
16,CCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,,,,0.683,0.172,0.145,,,,,,,,,,,mole,57.14,DCN,ASTM D6890,IQT,,2,CCCCCCCCCC,CC(C)CC(C)(C)C,Cc1ccccc1,,,,,,,,,,,CC(C)CC(C)(C)C_0.172_CCCCCCCCCC_0.683_Cc1ccccc1_0.145_
17,CCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC=CC=C1,,,,,,,,,,,0.376,0.454,0.17,,,,,,,,,,,mole,45.52,DCN,ASTM D6890,IQT,,2,CCCCCCCCCC,CC(C)CC(C)(C)C,Cc1ccccc1,,,,,,,,,,,CC(C)CC(C)(C)C_0.454_CCCCCCCCCC_0.376_Cc1ccccc1_0.170_
18,CCCCCCCCCCCC,CC1=CC(=CC(=C1)C)C,,,,,,,,,,,,0.2,0.8,,,,,,,,,,,,mole,21.8,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,Cc1cc(C)cc(C)c1,,,,,,,,,,,,CCCCCCCCCCCC_0.200_Cc1cc(C)cc(C)c1_0.800_
19,CCCCCCCCCCCC,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,,0.21,0.63,0.16,,,,,,,,,,,mole,24.3,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,,CCCCCCCCCCCC_0.210_CCCc1ccccc1_0.160_Cc1cc(C)cc(C)c1_0.630_
20,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.23,0.08,0.5,0.2,,,,,,,,,,mole,27.7,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.080_CCCCCCCCCCCC_0.230_CCCc1ccccc1_0.200_Cc1cc(C)cc(C)c1_0.500_
21,CCCCCCCCCCCC,CCCC1=CC=CC=C1,,,,,,,,,,,,0.2,0.8,,,,,,,,,,,,mole,28.1,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CCCc1ccccc1,,,,,,,,,,,,CCCCCCCCCCCC_0.200_CCCc1ccccc1_0.800_
22,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,,,,,,,,,,,0.25,0.15,0.6,,,,,,,,,,,mole,28.5,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,,,,,,,,,,,CC(C)CC(C)(C)C_0.150_CCCCCCCCCCCC_0.250_Cc1cc(C)cc(C)c1_0.600_
23,CCCCCCCCCCCC,CC(C)CC(C)(C)C,CC1=CC(=CC(=C1)C)C,CCCC1=CC=CC=C1,,,,,,,,,,0.23,0.08,0.27,0.42,,,,,,,,,,mole,29.4,DCN,ASTM D6890,IQT,,4,CCCCCCCCCCCC,CC(C)CC(C)(C)C,Cc1cc(C)cc(C)c1,CCCc1ccccc1,,,,,,,,,,CC(C)CC(C)(C)C_0.080_CCCCCCCCCCCC_0.230_CCCc1ccccc1_0.420_Cc1cc(C)cc(C)c1_0.270_
